;;?What are the airline hubs of <A>;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/hubs> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/hubs> ?uri };606ecd9c542e4d1d8cd5322a41818757;;;;;;;;;;;;;;;
;Sport;<A>  team is known as ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/teamName> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/teamName> ?uri };962450920a5d4789866bb953d15deaa4;;;;;;;;;;;;;;;
;;<A> acts as a game platform for how many things?;SELECT DISTINCT COUNT(?uri) where { ?uri <http://dbpedia.org/ontology/computingPlatform> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/computingPlatform> ?a };6e9fc24127eb42e2b5580784c12b6587;;;;;;;;;;;;;;;
;;<A> and <B> are operated by which city?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/operatedBy> ?uri . <B> <http://dbpedia.org/ontology/operatedBy> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/operatedBy> ?uri . ?b <http://dbpedia.org/ontology/operatedBy> ?uri };a045ba882fa04930b139d902ee4b03e2;;;;;;;;;;;;;;;
;Politics;<A> and <B> are politicians of what party ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/party> ?uri . <A> <http://dbpedia.org/ontology/party> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/party> ?uri . ?a <http://dbpedia.org/ontology/party> ?uri };ccb1cb5ab424424d952a58dae998bc1f;;;;;;;;;;;;;;;
;;<A> and <B> are still spoken in which part of the world?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/region> ?uri . <B> <http://dbpedia.org/property/region> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/region> ?uri . ?b <http://dbpedia.org/property/region> ?uri };bbc69cd1992d42deba2ecb4e218a9349;;;;;;;;;;;;;;;
;;<A> and <B> are the neighboring municipalities of which place ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/neighboringMunicipalities> <A> . ?uri <http://dbpedia.org/property/neighboringMunicipalities> <B> . ?uri a <http://dbpedia.org/ontology/Place> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/neighboringMunicipalities> ?a . ?uri <http://dbpedia.org/property/neighboringMunicipalities> ?b . ?uri a <http://dbpedia.org/ontology/Place> };5a3c7897625247c680bee70a5841b19a;;;;;;;;;;;;;;;
;;<A> and <B> belong to which species?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/species> ?uri . <B> <http://dbpedia.org/ontology/species> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/species> ?uri . ?b <http://dbpedia.org/ontology/species> ?uri };2006a24c1c3e478b98df523596714251;;;;;;;;;;;;;;;
;;<A> and <B> can be found in which country?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/locationCountry> ?uri . <B> <http://dbpedia.org/ontology/locationCountry> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/locationCountry> ?uri . ?b <http://dbpedia.org/ontology/locationCountry> ?uri };484f28f611e648b4b388f6cf98d964bb;;;;;;;;;;;;;;;
;Sport;<A> and <B> debuted their career with which common team?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/debutteam> ?uri . <A> <http://dbpedia.org/property/debutteam> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/debutteam> ?uri . ?a <http://dbpedia.org/property/debutteam> ?uri };b8602cf66ce54d7480a3cf07b2d2329f;;;;;;;;;;;;;;;
N;Film;<A> and <B> is produced by which company?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/manufacturer> ?uri . <B> <http://dbpedia.org/property/manufacturer> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/manufacturer> ?uri . ?b <http://dbpedia.org/property/manufacturer> ?uri };b727f0394eae4116bc3af96be4da1c1d;<A> and <B> is produced by which company?;;;;;;;;;;;;;;
N;Literature;<A> and <B> is the notable work of which author?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/notableworks> <A> . ?uri <http://dbpedia.org/property/notableworks> <B> . ?uri a <http://dbpedia.org/ontology/Writer> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/notableworks> ?a . ?uri <http://dbpedia.org/property/notableworks> ?b . ?uri a <http://dbpedia.org/ontology/Writer> };ab50944245784dce87146a8d1f1cc756;<A> and <B> is the notable work of which author?;;;;;;;;;;;;;;
N;Literature;<A> and <B> is written by what author?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/writer> ?uri . <B> <http://dbpedia.org/ontology/author> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/writer> ?uri . ?b <http://dbpedia.org/ontology/author> ?uri };835d9ccd780342e6a7509b3ca855b1d1;<A> and <B> is written by what author?;;;;;;;;;;;;;;
;;<A> and <B> served under which aussie PM?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/primeminister> ?uri . <B> <http://dbpedia.org/property/primeminister> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/primeminister> ?uri . ?b <http://dbpedia.org/property/primeminister> ?uri };2453d5655cc8407182387fe5d0514477;;;;;;;;;;;;;;;
N;;<A> and <B> shares which command structure ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/commandStructure> ?uri . <B> <http://dbpedia.org/ontology/commandStructure> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/commandStructure> ?uri . ?b <http://dbpedia.org/ontology/commandStructure> ?uri };5b6e06c40cae4a26af7b0d745c9ace62;<A> and <B> shares which command structure ?;;;;;;;;;;;;;;
;Literature;<A> authored which book?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/author> <A> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/author> ?a };4991e293a5df4dacb638b36ffa363faa;;;;;;;;;;;;;;;
;Geography;<A> belongs to which mountain range?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/mountainRange> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/mountainRange> ?uri };1d1199ba017a424983574e26ac9cc2bb;;;;;;;;;;;;;;;
;Politics;<A> belongs to which political party?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/occupation> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/occupation> ?uri };e91a205c78b6436ca52191e1516ec883;;;;;;;;;;;;;;;
;Sport;<A> born ice hockey players have stopped playing for which teams?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/birthPlace> <A> . ?x <http://dbpedia.org/ontology/formerTeam> ?uri . ?x a <http://dbpedia.org/ontology/IceHockeyPlayer> };select distinct ?a where { ?x <http://dbpedia.org/ontology/birthPlace> ?a . ?x <http://dbpedia.org/ontology/formerTeam> ?uri . ?x a <http://dbpedia.org/ontology/IceHockeyPlayer> };0cc6db94bbc44a198411909a855a2d2a;;;;;;;;;;;;;;;
